Original Prediction,Adversary Prediction,Truth,epsilon
8,8,8,0.3
9,9,9,0.3
8,8,8,0.3
7,7,7,0.3
9,9,9,0.3
4,4,4,0.3
3,3,3,0.3
2,2,2,0.3
8,8,8,0.3
1,1,1,0.3
9,9,9,0.3
9,9,9,0.3
0,0,0,0.3
6,6,6,0.3
1,1,1,0.3
8,8,8,0.3
1,1,1,0.3
6,6,6,0.3
0,0,0,0.3
7,7,7,0.3
4,4,4,0.3
4,4,4,0.3
0,0,0,0.3
5,5,5,0.3
4,4,4,0.3
0,0,0,0.3
3,3,3,0.3
2,2,2,0.3
3,3,3,0.3
3,3,3,0.3
1,1,1,0.3
6,6,6,0.3
1,1,1,0.3
6,6,6,0.3
9,9,9,0.3
4,4,4,0.3
6,6,6,0.3
3,3,3,0.3
0,0,0,0.3
0,0,0,0.3
5,5,5,0.3
1,1,1,0.3
9,9,9,0.3
2,2,2,0.3
8,8,8,0.3
1,1,1,0.3
4,4,4,0.3
9,9,9,0.3
1,1,1,0.3
1,1,1,0.3
3,3,3,0.3
4,4,4,0.3
8,8,8,0.3
7,7,7,0.3
2,2,2,0.3
3,3,3,0.3
7,7,7,0.3
0,0,0,0.3
7,7,7,0.3
5,5,5,0.3
3,3,3,0.3
6,6,6,0.3
4,4,4,0.3
8,8,8,0.3
5,5,5,0.3
8,8,8,0.3
0,0,0,0.3
1,8,1,0.3
0,0,0,0.3
5,5,5,0.3
0,0,0,0.3
1,1,1,0.3
0,0,0,0.3
1,1,1,0.3
4,4,4,0.3
7,7,7,0.3
0,0,0,0.3
0,0,0,0.3
2,2,2,0.3
9,9,9,0.3
3,3,3,0.3
3,3,3,0.3
2,2,2,0.3
8,8,8,0.3
5,5,5,0.3
2,2,2,0.3
3,3,3,0.3
6,6,6,0.3
6,6,6,0.3
3,5,3,0.3
5,5,5,0.3
1,1,1,0.3
1,1,1,0.3
3,3,3,0.3
3,3,3,0.3
8,8,8,0.3
8,8,8,0.3
1,1,1,0.3
9,9,9,0.3
7,7,7,0.3
1,1,1,0.3
8,8,8,0.3
3,3,3,0.3
0,0,0,0.3
5,5,5,0.3
4,4,4,0.3
6,6,6,0.3
4,4,4,0.3
8,8,8,0.3
4,4,4,0.3
3,3,3,0.3
6,6,6,0.3
4,4,4,0.3
4,4,4,0.3
1,1,1,0.3
8,8,8,0.3
7,7,7,0.3
0,0,0,0.3
2,2,2,0.3
6,6,6,0.3
6,6,6,0.3
0,0,0,0.3
3,3,3,0.3
9,9,9,0.3
6,6,6,0.3
8,8,8,0.3
2,2,2,0.3
5,5,5,0.3
8,8,8,0.3
3,3,3,0.3
6,6,6,0.3
4,4,4,0.3
0,0,0,0.3
4,4,4,0.3
5,5,5,0.3
9,9,9,0.3
2,2,2,0.3
6,6,6,0.3
3,3,3,0.3
8,8,8,0.3
6,6,6,0.3
3,3,3,0.3
9,9,9,0.3
0,0,0,0.3
9,9,9,0.3
9,9,9,0.3
7,7,7,0.3
0,0,0,0.3
7,7,7,0.3
7,7,7,0.3
4,4,4,0.3
6,6,6,0.3
1,1,1,0.3
8,8,8,0.3
1,1,1,0.3
4,4,4,0.3
5,5,5,0.3
0,0,0,0.3
3,3,3,0.3
8,8,8,0.3
5,5,5,0.3
7,7,7,0.3
1,1,1,0.3
4,4,4,0.3
3,3,3,0.3
0,0,0,0.3
8,8,8,0.3
9,9,9,0.3
7,7,7,0.3
0,0,0,0.3
6,6,6,0.3
2,2,2,0.3
2,2,2,0.3
8,8,8,0.3
5,5,5,0.3
5,5,5,0.3
7,7,7,0.3
9,9,9,0.3
4,4,4,0.3
0,0,0,0.3
9,9,9,0.3
9,9,9,0.3
8,8,8,0.3
5,5,5,0.3
9,9,9,0.3
5,5,5,0.3
5,5,5,0.3
3,3,3,0.3
7,7,7,0.3
0,0,0,0.3
3,3,3,0.3
1,1,1,0.3
4,4,4,0.3
1,1,1,0.3
4,4,4,0.3
0,0,0,0.3
6,6,6,0.3
0,0,0,0.3
7,7,7,0.3
4,4,4,0.3
4,4,4,0.3
2,2,2,0.3
8,8,8,0.3
0,0,0,0.3
6,6,6,0.3
8,8,8,0.3
9,9,9,0.3
1,1,1,0.3
5,5,5,0.3
5,5,5,0.3
2,2,2,0.3
1,1,1,0.3
3,3,3,0.3
1,1,1,0.3
2,2,2,0.3
4,4,4,0.3
2,2,2,0.3
4,4,4,0.3
1,1,1,0.3
8,8,8,0.3
5,5,5,0.3
8,8,8,0.3
8,8,8,0.3
3,3,3,0.3
3,3,3,0.3
1,1,1,0.3
2,2,2,0.3
5,5,5,0.3
4,4,4,0.3
2,2,2,0.3
3,3,3,0.3
5,5,5,0.3
8,8,8,0.3
6,6,6,0.3
8,8,8,0.3
6,6,6,0.3
2,2,2,0.3
8,8,8,0.3
4,4,4,0.3
0,0,0,0.3
1,3,1,0.3
0,0,0,0.3
3,3,3,0.3
6,6,6,0.3
1,1,1,0.3
4,4,4,0.3
2,2,2,0.3
3,3,3,0.3
3,3,3,0.3
2,2,2,0.3
6,6,6,0.3
8,8,8,0.3
7,7,7,0.3
6,6,6,0.3
4,4,4,0.3
9,9,9,0.3
3,3,3,0.3
7,7,7,0.3
9,9,9,0.3
2,2,2,0.3
8,8,8,0.3
5,5,5,0.3
4,4,4,0.3
8,8,8,0.3
1,1,1,0.3
2,2,2,0.3
9,9,9,0.3
2,2,2,0.3
3,3,3,0.3
7,7,7,0.3
1,1,1,0.3
8,8,8,0.3
1,1,1,0.3
9,9,9,0.3
3,3,3,0.3
9,9,9,0.3
2,2,2,0.3
1,1,1,0.3
8,8,8,0.3
3,3,3,0.3
9,9,9,0.3
2,2,2,0.3
0,0,0,0.3
6,6,6,0.3
3,3,3,0.3
1,1,1,0.3
4,4,4,0.3
9,9,9,0.3
6,6,6,0.3
3,3,3,0.3
8,8,8,0.3
2,2,2,0.3
2,2,2,0.3
0,0,0,0.3
3,3,3,0.3
8,8,8,0.3
9,9,9,0.3
3,3,3,0.3
7,7,7,0.3
4,4,4,0.3
4,4,4,0.3
3,3,3,0.3
2,2,2,0.3
6,6,6,0.3
0,0,0,0.3
0,0,0,0.3
1,1,1,0.3
1,1,1,0.3
7,7,7,0.3
9,9,9,0.3
1,1,1,0.3
8,8,8,0.3
3,3,3,0.3
5,5,5,0.3
4,4,4,0.3
3,3,3,0.3
7,7,7,0.3
9,9,9,0.3
3,3,3,0.3
7,7,7,0.3
3,3,3,0.3
3,3,3,0.3
3,3,3,0.3
3,3,3,0.3
1,1,1,0.3
5,5,5,0.3
8,8,8,0.3
8,8,8,0.3
2,2,2,0.3
1,1,1,0.3
8,8,8,0.3
5,5,5,0.3
2,2,2,0.3
0,0,0,0.3
8,8,8,0.3
4,4,4,0.3
4,4,4,0.3
5,5,5,0.3
3,3,3,0.3
7,7,7,0.3
9,9,9,0.3
0,0,0,0.3
1,1,1,0.3
1,1,1,0.3
5,5,5,0.3
4,4,4,0.3
9,9,9,0.3
6,6,6,0.3
6,6,6,0.3
9,9,9,0.3
8,8,8,0.3
0,0,0,0.3
2,2,2,0.3
7,7,7,0.3
6,6,6,0.3
3,3,3,0.3
7,7,7,0.3
9,9,9,0.3
5,5,5,0.3
6,6,6,0.3
2,2,2,0.3
6,6,6,0.3
6,6,6,0.3
2,2,2,0.3
6,6,6,0.3
7,7,7,0.3
4,4,4,0.3
9,9,9,0.3
5,5,6,0.3
7,7,7,0.3
0,0,0,0.3
7,7,7,0.3
9,9,9,0.3
3,3,3,0.3
2,2,2,0.3
8,8,8,0.3
9,9,9,0.3
4,4,4,0.3
5,5,5,0.3
4,4,4,0.3
7,7,7,0.3
2,2,2,0.3
9,9,9,0.3
2,2,2,0.3
0,0,0,0.3
6,6,6,0.3
3,3,3,0.3
5,5,5,0.3
9,9,9,0.3
3,3,3,0.3
2,2,2,0.3
4,4,4,0.3
3,3,1,0.3
4,4,4,0.3
8,8,8,0.3
1,1,1,0.3
0,0,0,0.3
2,2,2,0.3
3,3,3,0.3
0,0,0,0.3
6,6,6,0.3
7,7,7,0.3
8,8,8,0.3
8,8,8,0.3
5,5,5,0.3
4,4,4,0.3
0,0,0,0.3
2,2,2,0.3
4,4,4,0.3
1,1,1,0.3
2,2,2,0.3
6,6,6,0.3
1,1,1,0.3
2,2,2,0.3
7,7,7,0.3
9,9,9,0.3
4,4,4,0.3
9,9,9,0.3
2,2,2,0.3
4,4,4,0.3
2,2,2,0.3
8,8,8,0.3
3,3,3,0.3
4,4,4,0.3
9,9,9,0.3
7,7,7,0.3
3,3,3,0.3
4,4,4,0.3
7,7,7,0.3
2,2,2,0.3
0,0,0,0.3
1,1,1,0.3
4,4,4,0.3
6,6,6,0.3
8,8,8,0.3
1,1,1,0.3
0,0,0,0.3
0,0,0,0.3
1,1,1,0.3
0,0,0,0.3
4,4,4,0.3
2,2,2,0.3
3,3,9,0.3
0,0,0,0.3
1,1,1,0.3
1,1,1,0.3
1,1,1,0.3
1,1,1,0.3
8,8,8,0.3
2,2,2,0.3
7,7,7,0.3
2,2,2,0.3
3,3,3,0.3
4,4,4,0.3
4,4,4,0.3
5,5,5,0.3
7,7,7,0.3
5,5,5,0.3
3,3,3,0.3
0,0,0,0.3
8,8,8,0.3
4,4,4,0.3
8,8,8,0.3
3,3,3,0.3
7,7,7,0.3
2,2,2,0.3
1,1,1,0.3
5,5,5,0.3
4,4,4,0.3
7,7,7,0.3
7,7,7,0.3
0,0,0,0.3
1,1,1,0.3
7,7,7,0.3
3,3,3,0.3
7,7,7,0.3
5,5,5,0.3
7,7,7,0.3
2,2,2,0.3
9,9,9,0.3
2,2,2,0.3
0,0,0,0.3
7,7,7,0.3
6,6,6,0.3
2,2,2,0.3
3,3,3,0.3
0,0,0,0.3
4,4,4,0.3
2,2,2,0.3
7,7,7,0.3
1,1,1,0.3
0,0,0,0.3
9,9,9,0.3
1,1,1,0.3
7,7,7,0.3
0,0,0,0.3
1,1,1,0.3
5,5,5,0.3
4,4,4,0.3
8,8,8,0.3
9,9,9,0.3
8,8,8,0.3
8,8,8,0.3
6,6,6,0.3
4,4,4,0.3
7,7,7,0.3
7,7,7,0.3
6,6,6,0.3
1,1,1,0.3
7,7,7,0.3
2,2,2,0.3
3,3,3,0.3
6,6,6,0.3
4,4,4,0.3
6,6,6,0.3
7,7,7,0.3
2,2,2,0.3
7,7,7,0.3
5,5,5,0.3
5,5,5,0.3
4,4,4,0.3
9,9,9,0.3
8,8,8,0.3
9,9,9,0.3
9,9,9,0.3
1,1,1,0.3
7,7,7,0.3
1,1,1,0.3
7,7,7,0.3
2,2,2,0.3
8,8,8,0.3
6,6,6,0.3
7,7,7,0.3
5,5,5,0.3
1,1,1,0.3
3,3,3,0.3
8,8,8,0.3
4,4,4,0.3
4,4,4,0.3
5,5,5,0.3
4,4,4,0.3
0,0,0,0.3
2,2,2,0.3
1,1,1,0.3
5,5,5,0.3
8,8,8,0.3
1,1,1,0.3
5,5,5,0.3
8,8,8,0.3
5,5,5,0.3
1,1,1,0.3
2,2,2,0.3
6,6,6,0.3
5,5,5,0.3
7,7,7,0.3
5,5,5,0.3
3,3,3,0.3
3,3,3,0.3
0,0,0,0.3
0,0,0,0.3
3,3,3,0.3
2,2,2,0.3
1,1,1,0.3
6,6,6,0.3
5,5,5,0.3
4,4,4,0.3
8,8,8,0.3
3,3,3,0.3
0,0,0,0.3
7,7,7,0.3
2,2,2,0.3
8,8,8,0.3
8,8,8,0.3
1,1,1,0.3
0,0,0,0.3
4,4,4,0.3
2,2,2,0.3
2,2,2,0.3
1,1,1,0.3
5,5,5,0.3
8,8,8,0.3
0,0,0,0.3
1,1,1,0.3
2,2,2,0.3
4,9,4,0.3
9,9,9,0.3
7,7,7,0.3
2,2,2,0.3
8,3,3,0.3
2,2,2,0.3
6,6,6,0.3
6,6,5,0.3
9,9,9,0.3
9,9,9,0.3
8,8,8,0.3
8,8,8,0.3
2,2,2,0.3
7,7,7,0.3
8,8,8,0.3
1,1,1,0.3
1,1,1,0.3
6,6,6,0.3
3,3,3,0.3
3,3,3,0.3
8,8,8,0.3
2,2,2,0.3
2,2,2,0.3
9,9,9,0.3
2,2,2,0.3
1,1,1,0.3
7,7,7,0.3
6,6,6,0.3
3,3,3,0.3
7,7,7,0.3
7,7,7,0.3
6,6,6,0.3
1,1,1,0.3
4,4,4,0.3
1,1,1,0.3
4,4,4,0.3
2,2,2,0.3
5,5,5,0.3
6,6,6,0.3
0,0,0,0.3
0,0,0,0.3
8,8,8,0.3
4,4,4,0.3
5,5,5,0.3
0,0,0,0.3
0,0,0,0.3
4,4,4,0.3
3,3,3,0.3
6,6,6,0.3
6,6,6,0.3
8,8,8,0.3
6,6,6,0.3
3,3,3,0.3
5,5,5,0.3
2,2,2,0.3
6,6,6,0.3
2,2,2,0.3
5,5,5,0.3
0,0,0,0.3
9,9,9,0.3
0,0,0,0.3
2,2,2,0.3
6,6,6,0.3
8,8,8,0.3
4,4,4,0.3
8,8,8,0.3
8,8,8,0.3
8,8,8,0.3
8,8,8,0.3
2,2,2,0.3
2,2,2,0.3
3,3,3,0.3
3,3,3,0.3
1,1,1,0.3
6,6,6,0.3
2,2,2,0.3
3,3,3,0.3
5,5,5,0.3
0,0,0,0.3
4,4,9,0.3
7,7,7,0.3
2,2,2,0.3
6,6,6,0.3
2,2,2,0.3
9,9,9,0.3
2,2,2,0.3
6,6,6,0.3
7,7,7,0.3
8,8,8,0.3
9,9,9,0.3
3,3,3,0.3
5,5,5,0.3
7,7,7,0.3
2,2,2,0.3
5,5,5,0.3
7,7,7,0.3
8,8,8,0.3
6,6,6,0.3
6,6,6,0.3
5,5,5,0.3
8,8,8,0.3
4,4,4,0.3
7,7,7,0.3
8,8,8,0.3
3,3,3,0.3
9,9,9,0.3
4,4,4,0.3
7,7,7,0.3
9,9,9,0.3
9,9,9,0.3
8,8,8,0.3
9,9,9,0.3
1,1,1,0.3
2,2,2,0.3
9,9,9,0.3
6,6,4,0.3
7,7,7,0.3
1,1,1,0.3
3,3,3,0.3
4,4,4,0.3
1,1,1,0.3
1,1,1,0.3
6,6,6,0.3
9,9,9,0.3
3,3,3,0.3
3,3,3,0.3
9,9,9,0.3
7,7,7,0.3
5,5,3,0.3
2,2,2,0.3
0,0,0,0.3
6,6,6,0.3
9,9,9,0.3
7,7,7,0.3
0,0,0,0.3
3,3,3,0.3
9,9,9,0.3
6,5,6,0.3
6,6,6,0.3
1,1,1,0.3
1,1,1,0.3
3,3,3,0.3
4,2,9,0.3
2,2,2,0.3
4,4,4,0.3
6,6,6,0.3
5,5,5,0.3
5,5,5,0.3
5,5,5,0.3
7,7,7,0.3
0,0,0,0.3
2,2,2,0.3
2,2,2,0.3
5,5,5,0.3
8,8,8,0.3
3,3,3,0.3
8,8,8,0.3
8,8,8,0.3
5,5,5,0.3
3,3,3,0.3
0,0,0,0.3
7,7,7,0.3
7,7,7,0.3
2,2,2,0.3
4,9,4,0.3
6,6,6,0.3
3,3,3,0.3
7,7,7,0.3
8,8,8,0.3
9,9,9,0.3
6,6,6,0.3
0,0,0,0.3
6,6,6,0.3
7,7,7,0.3
2,2,2,0.3
7,7,7,0.3
9,9,9,0.3
6,6,6,0.3
4,4,4,0.3
0,0,0,0.3
0,0,0,0.3
1,1,1,0.3
3,3,3,0.3
6,6,6,0.3
3,3,3,0.3
5,5,5,0.3
8,8,8,0.3
3,3,3,0.3
3,3,3,0.3
3,3,3,0.3
2,2,2,0.3
2,2,2,0.3
8,8,8,0.3
0,0,0,0.3
1,1,1,0.3
5,5,5,0.3
0,0,0,0.3
3,3,3,0.3
8,8,8,0.3
2,2,2,0.3
0,0,0,0.3
0,0,0,0.3
8,8,8,0.3
9,9,9,0.3
4,4,4,0.3
8,8,8,0.3
5,5,5,0.3
9,9,9,0.3
0,0,0,0.3
0,0,0,0.3
7,7,7,0.3
3,3,3,0.3
3,3,3,0.3
4,4,4,0.3
9,9,4,0.3
7,7,7,0.3
8,8,8,0.3
1,1,1,0.3
4,4,4,0.3
4,4,4,0.3
6,6,6,0.3
4,4,4,0.3
8,8,8,0.3
6,6,6,0.3
2,2,2,0.3
8,8,8,0.3
5,5,5,0.3
8,8,8,0.3
0,0,0,0.3
0,0,0,0.3
1,1,1,0.3
9,9,9,0.3
0,0,0,0.3
4,4,4,0.3
6,6,6,0.3
2,2,2,0.3
8,8,8,0.3
6,6,6,0.3
8,8,8,0.3
5,5,5,0.3
3,3,3,0.3
1,1,1,0.3
3,3,3,0.3
4,4,4,0.3
3,3,3,0.3
2,2,2,0.3
8,8,8,0.3
5,5,5,0.3
7,7,7,0.3
2,2,2,0.3
5,5,5,0.3
9,9,9,0.3
7,7,7,0.3
2,2,2,0.3
1,1,1,0.3
1,1,1,0.3
3,3,3,0.3
8,8,8,0.3
8,8,9,0.3
0,0,5,0.3
6,6,6,0.3
0,0,0,0.3
6,6,6,0.3
5,5,5,0.3
3,3,3,0.3
5,5,5,0.3
9,9,9,0.3
1,1,1,0.3
6,6,6,0.3
4,4,4,0.3
4,4,4,0.3
8,8,8,0.3
9,9,9,0.3
4,4,4,0.3
7,7,7,0.3
7,7,7,0.3
2,2,2,0.3
9,9,9,0.3
0,0,0,0.3
6,6,6,0.3
7,7,7,0.3
5,5,5,0.3
2,2,2,0.3
3,3,3,0.3
8,8,8,0.3
9,9,9,0.3
2,2,2,0.3
2,2,2,0.3
4,4,4,0.3
7,7,7,0.3
1,1,1,0.3
7,7,7,0.3
9,9,9,0.3
4,4,4,0.3
2,2,2,0.3
3,3,3,0.3
7,7,7,0.3
8,8,8,0.3
4,4,4,0.3
6,6,6,0.3
2,2,2,0.3
6,6,6,0.3
0,0,0,0.3
9,9,9,0.3
6,6,6,0.3
1,1,1,0.3
4,4,4,0.3
4,4,4,0.3
4,4,4,0.3
8,8,8,0.3
6,6,6,0.3
8,8,8,0.3
7,7,7,0.3
4,4,4,0.3
3,3,3,0.3
2,2,2,0.3
0,0,0,0.3
7,7,7,0.3
4,4,4,0.3
6,6,6,0.3
3,3,3,0.3
2,2,2,0.3
5,5,5,0.3
2,2,2,0.3
4,4,4,0.3
9,9,9,0.3
7,7,7,0.3
5,5,5,0.3
7,7,7,0.3
9,9,9,0.3
2,2,2,0.3
1,1,1,0.3
0,0,0,0.3
6,6,6,0.3
7,7,7,0.3
0,0,0,0.3
2,2,2,0.3
2,2,2,0.3
9,9,9,0.3
8,8,8,0.3
0,0,0,0.3
5,5,5,0.3
9,9,9,0.3
8,8,8,0.3
0,0,0,0.3
9,9,9,0.3
8,8,8,0.3
0,0,0,0.3
0,0,0,0.3
4,4,4,0.3
5,5,5,0.3
2,2,2,0.3
2,2,2,0.3
5,5,5,0.3
3,3,3,0.3
6,6,6,0.3
9,9,9,0.3
0,0,0,0.3
3,3,3,0.3
2,2,2,0.3
3,3,3,0.3
4,4,4,0.3
9,9,9,0.3
5,5,5,0.3
9,9,9,0.3
5,5,5,0.3
6,6,6,0.3
8,8,8,0.3
3,3,3,0.3
9,9,9,0.3
8,8,8,0.3
3,3,3,0.3
7,7,7,0.3
4,4,4,0.3
2,2,2,0.3
9,9,9,0.3
4,4,4,0.3
9,9,9,0.3
7,7,7,0.3
6,6,6,0.3
4,4,4,0.3
0,0,0,0.3
5,5,5,0.3
2,2,2,0.3
7,7,7,0.3
4,4,4,0.3
2,2,2,0.3
2,2,2,0.3
9,9,9,0.3
9,9,9,0.3
4,4,4,0.3
8,8,8,0.3
4,4,4,0.3
4,4,4,0.3
4,4,4,0.3
0,5,0,0.3
7,7,7,0.3
6,6,6,0.3
9,9,9,0.3
7,2,7,0.3
9,9,9,0.3
5,5,5,0.3
9,9,9,0.3
3,5,3,0.3
0,0,0,0.3
0,0,0,0.3
4,4,4,0.3
6,6,6,0.3
4,4,4,0.3
0,0,0,0.3
6,6,6,0.3
3,3,3,0.3
0,0,0,0.3
3,3,3,0.3
3,3,3,0.3
0,0,0,0.3
8,8,5,0.3
9,9,9,0.3
6,6,6,0.3
6,6,6,0.3
8,8,8,0.3
9,9,9,0.3
9,9,9,0.3
9,9,9,0.3
6,6,6,0.3
2,2,2,0.3
4,4,4,0.3
1,1,1,0.3
2,2,2,0.3
9,9,9,0.3
0,0,0,0.3
0,0,0,0.3
3,3,3,0.3
9,9,9,0.3
9,9,9,0.3
0,0,0,0.3
7,7,7,0.3
6,6,6,0.3
2,2,2,0.3
1,1,1,0.3
2,2,2,0.3
2,2,2,0.3
2,2,2,0.3
9,9,9,0.3
4,4,4,0.3
6,6,6,0.3
3,3,3,0.3
6,6,6,0.3
1,1,1,0.3
2,2,2,0.3
1,1,1,0.3
4,4,4,0.3
6,6,6,0.3
6,6,6,0.3
1,1,1,0.3
5,5,5,0.3
1,1,1,0.3
8,8,8,0.3
6,6,6,0.3
9,9,9,0.3
6,6,6,0.3
5,5,5,0.3
2,2,2,0.3
9,9,9,0.3
5,5,5,0.3
2,2,2,0.3
9,9,9,0.3
0,0,0,0.3
2,2,2,0.3
5,5,5,0.3
2,2,2,0.3
7,7,7,0.3
1,1,1,0.3
3,3,3,0.3
8,8,8,0.3
2,2,2,0.3
9,9,9,0.3
4,4,4,0.3
1,1,1,0.3
4,4,4,0.3
1,1,1,0.3
4,4,4,0.3
0,0,0,0.3
4,4,4,0.3
7,7,7,0.3
4,4,4,0.3
9,9,9,0.3
0,0,0,0.3
6,6,6,0.3
2,2,2,0.3
4,4,4,0.3
2,2,2,0.3
4,4,4,0.3
2,2,2,0.3
1,1,1,0.3
1,1,1,0.3
1,1,1,0.3
6,6,6,0.3
8,8,8,0.3
8,8,8,0.3
1,1,1,0.3
6,6,6,0.3
7,7,7,0.3
6,6,6,0.3
4,4,4,0.3
3,3,3,0.3
2,2,2,0.3
4,4,4,0.3
8,8,8,0.3
4,4,4,0.3
4,4,4,0.3
5,5,5,0.3
6,6,6,0.3
3,3,3,0.3
7,7,7,0.3
2,2,2,0.3
0,0,0,0.3
6,6,6,0.3
0,0,0,0.3
1,1,1,0.3
0,0,0,0.3
8,8,8,0.3
1,1,1,0.3
7,7,7,0.3
8,8,8,0.3
9,9,9,0.3
0,0,0,0.3
4,4,4,0.3
7,7,7,0.3
9,9,9,0.3
3,3,3,0.3
4,4,4,0.3
1,1,1,0.3
3,3,3,0.3
0,0,0,0.3
3,3,3,0.3
2,2,2,0.3
6,6,6,0.3
2,2,2,0.3
2,2,2,0.3
1,1,1,0.3
7,7,7,0.3
8,8,8,0.3
3,3,3,0.3
3,3,3,0.3
6,6,6,0.3
5,5,5,0.3
7,7,7,0.3
1,1,1,0.3
2,2,2,0.3
5,5,5,0.3
8,8,8,0.3
4,4,4,0.3
1,1,1,0.3
1,1,1,0.3
2,2,2,0.3
3,3,3,0.3
1,1,1,0.3
2,2,2,0.3
8,8,8,0.3
9,9,9,0.3
0,0,0,0.3
2,2,2,0.3
2,2,2,0.3
6,6,6,0.3
1,1,1,0.3
5,5,5,0.3
5,5,5,0.3
1,1,1,0.3
2,2,2,0.3
2,2,2,0.3
3,3,3,0.3
8,8,8,0.3
3,3,3,0.3
8,8,8,0.3
7,7,7,0.3
3,3,3,0.3
2,2,2,0.3
3,3,3,0.3
0,0,0,0.3
5,5,5,0.3
2,2,2,0.3
4,4,4,0.3
9,9,9,0.3
0,0,0,0.3
8,8,8,0.3
1,8,1,0.3
4,4,4,0.3
0,0,0,0.3
9,9,9,0.3
3,3,3,0.3
5,5,5,0.3
3,3,3,0.3
8,8,8,0.3
2,2,2,0.3
7,7,7,0.3
5,5,5,0.3
8,8,8,0.3
8,8,8,0.3
6,6,6,0.3
2,2,2,0.3
5,5,5,0.3
5,5,5,0.3
9,9,9,0.3
9,9,9,0.3
7,7,7,0.3
3,3,3,0.3
9,9,9,0.3
3,3,3,0.3
8,8,8,0.3
9,9,9,0.3
8,8,8,0.3
6,6,6,0.3
9,9,9,0.3
1,1,1,0.3
8,8,8,0.3
8,8,8,0.3
5,5,5,0.3
5,5,5,0.3
4,4,4,0.3
6,6,6,0.3
0,0,0,0.3
9,9,9,0.3
3,3,3,0.3
6,6,6,0.3
2,2,2,0.3
9,9,9,0.3
3,3,3,0.3
0,0,0,0.3
2,2,2,0.3
1,1,1,0.3
0,0,0,0.3
5,5,5,0.3
0,0,0,0.3
1,1,1,0.3
0,0,0,0.3
2,2,2,0.3
9,9,9,0.3
6,6,6,0.3
4,4,4,0.3
1,1,1,0.3
7,7,7,0.3
1,1,1,0.3
6,6,6,0.3
8,8,8,0.3
7,9,7,0.3
2,2,2,0.3
4,4,4,0.3
1,1,1,0.3
3,3,3,0.3
6,6,6,0.3
0,0,0,0.3
6,6,6,0.3
3,3,3,0.3
2,2,2,0.3
9,9,9,0.3
4,4,4,0.3
6,6,6,0.3
1,1,1,0.3
7,7,7,0.3
6,6,6,0.3
7,7,7,0.3
0,0,0,0.3
5,5,5,0.3
4,4,4,0.3
7,7,7,0.3
6,5,6,0.3
9,9,9,0.3
0,0,0,0.3
9,9,9,0.3
1,1,1,0.3
6,6,6,0.3
3,3,3,0.3
1,1,1,0.3
6,6,6,0.3
3,3,3,0.3
0,0,0,0.3
4,4,4,0.3
0,0,0,0.3
3,3,3,0.3
4,4,4,0.3
6,6,6,0.3
7,7,7,0.3
0,0,0,0.3
0,0,0,0.3
1,1,1,0.3
2,2,2,0.3
0,0,0,0.3
3,3,3,0.3
9,9,9,0.3
4,4,4,0.3
7,7,7,0.3
9,9,9,0.3
2,2,2,0.3
1,1,1,0.3
1,1,1,0.3
5,5,5,0.3
0,0,0,0.3
2,2,2,0.3
6,6,6,0.3
7,7,7,0.3
4,4,4,0.3
5,5,5,0.3
2,2,2,0.3
0,0,0,0.3
7,7,7,0.3
2,2,2,0.3
1,1,1,0.3
0,0,0,0.3
0,0,0,0.3
1,1,1,0.3
4,4,4,0.3
3,3,3,0.3
4,4,4,0.3
3,3,3,0.3
0,0,0,0.3
6,6,6,0.3
7,7,7,0.3
0,0,0,0.3
2,2,2,0.3
9,9,9,0.3
9,9,9,0.3
0,0,0,0.3
2,2,2,0.3
7,7,7,0.3
2,2,2,0.3
4,4,4,0.3
1,1,1,0.3
4,4,4,0.3
5,5,5,0.3
1,1,1,0.3
2,2,2,0.3
1,1,1,0.3
6,6,6,0.3
3,3,3,0.3
1,1,1,0.3
3,3,3,0.3
4,4,4,0.3
3,3,3,0.3
7,7,7,0.3
2,2,2,0.3
0,0,0,0.3
7,7,7,0.3
9,9,9,0.3
1,1,1,0.3
3,3,3,0.3
0,0,0,0.3
3,3,3,0.3
0,0,0,0.3
1,1,1,0.3
2,2,2,0.3
1,1,1,0.3
9,9,9,0.3
4,4,4,0.3
3,3,3,0.3
3,3,3,0.3
8,8,8,0.3
0,0,0,0.3
7,7,7,0.3
5,5,5,0.3
7,7,7,0.3
1,1,1,0.3
6,6,6,0.3
0,0,9,0.3
7,7,7,0.3
4,4,4,0.3
4,4,4,0.3
5,5,5,0.3
9,9,9,0.3
9,9,9,0.3
6,6,6,0.3
0,0,8,0.3
3,3,3,0.3
2,2,2,0.3
0,0,0,0.3
3,3,3,0.3
7,7,7,0.3
0,0,0,0.3
0,0,0,0.3
3,3,3,0.3
1,1,1,0.3
7,7,7,0.3
2,2,2,0.3
1,1,1,0.3
9,9,9,0.3
4,4,4,0.3
0,0,0,0.3
7,7,7,0.3
9,9,9,0.3
4,4,4,0.3
8,8,8,0.3
0,0,0,0.3
9,9,7,0.3
5,5,5,0.3
3,3,3,0.3
1,1,1,0.3
5,5,5,0.3
7,7,7,0.3
6,6,6,0.3
0,0,0,0.3
7,7,7,0.3
8,8,8,0.3
0,0,0,0.3
1,1,1,0.3
8,8,8,0.3
1,1,1,0.3
3,3,3,0.3
2,2,2,0.3
4,4,4,0.3
7,7,7,0.3
4,4,4,0.3
3,3,3,0.3
9,9,9,0.3
